| #  | Answer     |
| -- | ---------- |
| 1  | IMPLEMENT  |
| 2  | PRECREMENT |
| 3  | METHOD     |
| 4  | FOR        |
| 5  | OPERATOR   |
| 6  | INT        |
| 7  | SET        |
| 8  | LOOP       |
| 9  | RETURN     |
| 10 | EXPRESSION |
| 11 | PSEUDOCODE |
| 12 | DECREMENT  |
| 13 | CAST       |
| 14 | ITERATION  |
| 15 | API        |
| 16 | JAVA.IO    |
| 17 | ELEMENT    |
| 18 | VARIABLE   |
| 19 | PRIZE      |
| 20 | JAVA.LANG  |
| 21 | UTIL       |
| 22 | INTEGER    |
| 23 | POST       |
| 24 | MATH       |
| 25 | BOOLEAN    |
| 26 | RANDOM     |
| 27 | ONE        |
| 28 | ARRAY      |
| 29 | BREAK      |
