| #  | Answer    |
| -- | --------- |
|    |           |
| 1  | PRIMITIVE |
| 2  | METHOD    |
| 3  | OBJECT    |
| 4  | INDEXOF   |
| 5  | SHORT     |
| 6  | DOUBLE    |
| 7  | ADD       |
| 8  | GET       |
| 9  | PACK      |
| 10 | IF        |
| 11 | LONG      |
| 12 | FLOAT     |
| 13 | ARRAYLIST |
| 14 | VOID      |
| 15 | VARIABLE  |
| 16 | INT       |
| 17 | LENGTH    |
| 18 | SIZE      |
| 19 | MAIN      |
| 20 | APP       |
| 21 | LOOP      |
| 22 | EQUALS    |
| 23 | IMPORT    |
| 24 | LIBRARY   |
| 25 | WHILE     |
| 26 | TAPS      |
| 27 | CONTAIN   |
